source1_entity_id	candidate_entity_ids
S1-104226194	S2-109325381,S2-115698842,S2-170729594,S2-180758715,S2-180999100,S2-191866478,S2-200881523,S2-216236637,S2-248314531,S2-281967867,S2-284234883,S2-326490661,S2-343318003,S2-401262433,S2-421933863,S2-439486038,S2-458053941,S2-487764735,S2-505437566,S2-530364673,S2-531458823,S2-532020500,S2-56949476,S2-577024442,S2-583375171,S2-587483203,S2-610531467,S2-644540083,S2-655106152,S2-684635925,S2-698772845,S2-710093360,S2-719166778,S2-739949685,S2-751864723,S2-772679465,S2-779076884,S2-781962381,S2-78721559,S2-789468897,S2-794412447,S2-807204278,S2-834393524,S2-850846611,S2-867358397,S2-87394281,S2-876148854,S2-878088606,S2-929954428,S2-930060775,S2-976907900,S2-982583721,S2-993696236,S3-109022385,S3-126421320,S3-137354887,S3-142144880,S3-149929526,S3-166654622,S3-176661804,S3-183027444,S3-184626057,S3-19833156,S3-228630385,S3-230129402,S3-236267922,S3-285391350,S3-290348380,S3-310188919,S3-313561260,S3-354267029,S3-359792628,S3-385271843,S3-404670106,S3-409490103,S3-447448464,S3-534666911,S3-545214696,S3-569473763,S3-580566844,S3-617083897,S3-626031387,S3-630609559,S3-652562670,S3-67467882,S3-687581647,S3-689577086,S3-730813330,S3-759174955,S3-759462555,S3-783112894,S3-788342165,S3-797830010,S3-82392530,S3-86467247,S3-926120047,S3-938246843,S3-950356726,S3-955100619,S3-997547866
S1-104955523	S2-252220586,S2-311762453,S2-335529804,S2-356207350,S2-367392617,S2-377309216,S2-404027257,S2-426754123,S2-43059714,S2-432715099,S2-455209026,S2-531135326,S2-563049977,S2-662169517,S2-68186250,S2-690666650,S2-74778032,S2-765106214,S2-773760816,S2-775274731,S2-831625227,S2-936557811,S2-963826280,S2-970217516,S2-999759387,S3-11209252,S3-159133208,S3-167308037,S3-217363410,S3-257247298,S3-281022043,S3-301500976,S3-302901311,S3-44302622,S3-573372073,S3-641435457,S3-650244808,S3-663188394,S3-67912149,S3-679462319,S3-681646861,S3-735658070,S3-739921520,S3-804973018,S3-830999183,S3-859137239,S3-87949566,S3-882605073,S3-994251535
S1-108314429	S2-112702161,S2-159289810,S2-168696402,S2-173342241,S2-19632414,S2-203594124,S2-263225599,S2-26875061,S2-344085581,S2-393808325,S2-402637820,S2-4144611,S2-444794612,S2-457918727,S2-458931738,S2-483055121,S2-508663035,S2-540844985,S2-54240060,S2-546637260,S2-577725298,S2-587009456,S2-596131490,S2-679190243,S2-695674205,S2-700416422,S2-722239453,S2-727654457,S2-728422222,S2-737441748,S2-738229447,S2-740739672,S2-768494295,S2-819337128,S2-820645328,S2-888124266,S2-888911540,S2-927569271,S2-934798050,S2-938820431,S2-950698767,S2-974852348,S2-976390618,S2-98077886,S2-985441801,S3-119398022,S3-119411156,S3-134567258,S3-155349025,S3-16154425,S3-173449142,S3-184626057,S3-187059206,S3-190955691,S3-191185516,S3-212813105,S3-24160002,S3-264895079,S3-278426099,S3-283811286,S3-315993616,S3-338036421,S3-358313364,S3-37459538,S3-406500986,S3-40766644,S3-413297469,S3-416477058,S3-432441682,S3-445045809,S3-449264431,S3-457150821,S3-465175532,S3-506726696,S3-513238875,S3-514455100,S3-514916011,S3-555672885,S3-560301253,S3-566148831,S3-578139007,S3-63144932,S3-642920117,S3-67695249,S3-683215378,S3-701121566,S3-710516125,S3-749728892,S3-750540252,S3-754019877,S3-766405539,S3-799131747,S3-813632089,S3-888667287,S3-897457543,S3-904776573,S3-909228297,S3-920810636,S3-928353169,S3-96623138
S1-112860356	S2-119599096,S2-143045019,S2-165416638,S2-286891768,S2-287849182,S2-290606494,S2-300329052,S2-316590073,S2-318025254,S2-318760119,S2-319744931,S2-326368586,S2-340713624,S2-378024681,S2-396009333,S2-399052000,S2-424500950,S2-456948396,S2-473358008,S2-505412477,S2-538976068,S2-544639758,S2-561420173,S2-57019358,S2-5728899,S2-580967499,S2-594381269,S2-598068208,S2-620110385,S2-628121208,S2-639682101,S2-65623277,S2-67456737,S2-6762534,S2-682538932,S2-708159493,S2-708727646,S2-710539502,S2-715905554,S2-742233323,S2-744018700,S2-759421858,S2-766311908,S2-794778590,S2-806902783,S2-808715434,S2-814657101,S2-831449937,S2-833227760,S2-834955077,S2-845463620,S2-845573432,S2-867362469,S2-879254732,S2-896696403,S2-901974545,S2-913976206,S2-924136235,S2-937720083,S2-946158355,S2-971383975,S2-974796269,S2-983756344,S2-984241859,S2-990277306,S2-993696236,S2-994558157,S3-111773423,S3-112136802,S3-14149832,S3-154798586,S3-15546111,S3-207469565,S3-241531576,S3-255846010,S3-27435119,S3-287631803,S3-336501543,S3-354566450,S3-398983868,S3-413623444,S3-416414284,S3-42755606,S3-435959093,S3-451526773,S3-471474165,S3-48837493,S3-494523969,S3-517968732,S3-528538239,S3-635876806,S3-671431144,S3-695060764,S3-776291612,S3-778496967,S3-790711541,S3-846429374,S3-864976357,S3-870804447,S3-945135312
S1-114380129	S2-124617507,S2-137628965,S2-160402201,S2-161781122,S2-179461226,S2-199326751,S2-229367535,S2-26081285,S2-294835210,S2-31784017,S2-319487236,S2-321540574,S2-322836083,S2-347549160,S2-356636725,S2-398070661,S2-400521955,S2-438486989,S2-440765604,S2-448658668,S2-458247556,S2-473533690,S2-492015688,S2-498279964,S2-498390029,S2-517314935,S2-597069180,S2-646080124,S2-646867412,S2-669332876,S2-677418969,S2-722559992,S2-747466359,S2-762033913,S2-776979128,S2-777625208,S2-780103150,S2-780354672,S2-787499273,S2-78769581,S2-800677162,S2-824359905,S2-849565658,S2-853595597,S2-884135049,S2-887037968,S2-902205396,S2-908249006,S2-9116710,S2-919947855,S2-94895211,S2-97306857,S2-986716530,S2-987231071,S2-993880915,S3-103911278,S3-110583986,S3-1169489,S3-124694155,S3-157388392,S3-170435799,S3-184587904,S3-197424002,S3-225866213,S3-256995092,S3-258903524,S3-26551225,S3-288442666,S3-32363117,S3-329481615,S3-331103166,S3-342175660,S3-414922290,S3-420788477,S3-423255944,S3-445353252,S3-459298427,S3-459474099,S3-468575966,S3-492946014,S3-504675118,S3-529012041,S3-539716111,S3-576383180,S3-671891516,S3-676883344,S3-681591864,S3-706003667,S3-710694466,S3-771807288,S3-789556244,S3-794305521,S3-804166196,S3-866244616,S3-891569942,S3-896931877,S3-906411275,S3-915146399,S3-952544550,S3-97462702
S1-116081375	S2-110054108,S2-139236703,S2-185606993,S2-245136342,S2-272918438,S2-283797923,S2-292254573,S2-294788791,S2-360633734,S2-386433432,S2-478339042,S2-480507234,S2-512794934,S2-524239566,S2-597606217,S2-635803796,S2-640028367,S2-659189614,S2-689989978,S2-702914885,S2-707039857,S2-718533662,S2-72311199,S2-761972097,S2-86805076,S2-872690777,S2-884007692,S2-942413491,S2-948927387,S2-952725337,S2-988362074,S3-120768733,S3-151695228,S3-164988651,S3-183029328,S3-192584799,S3-222907371,S3-224074536,S3-243311084,S3-310645758,S3-314367132,S3-348050503,S3-355795260,S3-382834214,S3-388933339,S3-417581085,S3-419708185,S3-495661873,S3-530107911,S3-531535716,S3-699519525,S3-715255349,S3-768860411,S3-799301227,S3-813001767,S3-822125683,S3-825202786,S3-876276029,S3-878319580,S3-946815458
S1-124208550	S2-113479754,S2-185654339,S2-260783262,S2-263112597,S2-281404371,S2-373469672,S2-40574852,S2-42434437,S2-613017868,S2-618042532,S3-110938407,S3-134557496,S3-180847428,S3-224895103,S3-317766815,S3-335782341,S3-342228539,S3-380501819,S3-398025352,S3-510778048,S3-527601893,S3-924753717
S1-125472274	S2-100935559,S2-114171211,S2-139852797,S2-145507253,S2-149053652,S2-156690878,S2-157551976,S2-169467607,S2-17518111,S2-18646578,S2-219736692,S2-250366198,S2-256518183,S2-32370799,S2-33105288,S2-348005509,S2-351107485,S2-372542500,S2-3914789,S2-397718123,S2-425455437,S2-428861032,S2-444317957,S2-444745943,S2-460222305,S2-491000493,S2-509304091,S2-513836299,S2-533989475,S2-541414076,S2-624402487,S2-661914759,S2-662673311,S2-662770103,S2-671283387,S2-681568197,S2-707981754,S2-725969272,S2-792859805,S2-796310966,S2-807204278,S2-839495817,S2-853402300,S2-857044147,S2-862895263,S2-870280188,S2-872966114,S2-888362861,S2-898211285,S2-904009571,S2-913006655,S2-953037948,S2-980846147,S2-983747005,S3-125166682,S3-199724223,S3-210565598,S3-218393151,S3-228327477,S3-29270703,S3-301719470,S3-36630038,S3-385665030,S3-386654363,S3-387069758,S3-474782819,S3-483519263,S3-503203462,S3-516128204,S3-524217047,S3-566328140,S3-567464136,S3-579264271,S3-634808128,S3-647554132,S3-65143744,S3-697698439,S3-702501606,S3-7027282,S3-709470866,S3-713648990,S3-716416545,S3-744877570,S3-78521456,S3-799131747,S3-825263544,S3-839189434,S3-847790890,S3-848194042,S3-85066318,S3-851667676,S3-903584153,S3-919875068,S3-934998088,S3-949824629,S3-961089893,S3-963404620,S3-977581867,S3-979326755,S3-991222395
S1-13859063	S2-33386440,S2-424313130,S2-523744904,S2-763018444,S2-814233140,S2-949098729,S2-997942681,S3-16622171,S3-208092736,S3-295324850,S3-301710722,S3-552349188,S3-55424384,S3-609365114,S3-711600788,S3-922300461
S1-151608539	S2-12995450,S2-144853794,S2-148904671,S2-151239135,S2-181178537,S2-196924112,S2-209969212,S2-214717915,S2-218675931,S2-237724812,S2-243627614,S2-255193301,S2-258069548,S2-272641930,S2-282325615,S2-308126862,S2-428137004,S2-446101705,S2-49714460,S2-503829652,S2-524167441,S2-525671462,S2-547097573,S2-564551253,S2-57490681,S2-601475290,S2-623614781,S2-62535217,S2-629013822,S2-639231137,S2-671503315,S2-706697276,S2-712770315,S2-714976498,S2-780775619,S2-786578220,S2-788637934,S2-802837546,S2-804432844,S2-81124098,S2-844767517,S2-853305894,S2-853399841,S2-911263572,S2-941803016,S2-943955488,S2-954205559,S2-970843942,S3-104268346,S3-116889975,S3-128013423,S3-136087751,S3-157229605,S3-163249756,S3-261039922,S3-262836757,S3-266076797,S3-281767937,S3-288821874,S3-289687724,S3-308621983,S3-31440757,S3-339734079,S3-362072531,S3-394703938,S3-419297815,S3-451271292,S3-461941937,S3-468955020,S3-474734451,S3-49624903,S3-517968732,S3-53381367,S3-541688875,S3-548256124,S3-556242957,S3-591562140,S3-601521057,S3-627619807,S3-630609559,S3-631878332,S3-639295599,S3-660905300,S3-664253519,S3-677469750,S3-694397589,S3-710770039,S3-712101613,S3-745660870,S3-754801590,S3-759146665,S3-788109373,S3-826826301,S3-850384342,S3-853989491,S3-863539653,S3-905649783,S3-921657242,S3-937514490,S3-973786081
S1-154180077	S2-106188251,S2-115168808,S2-175153925,S2-203158054,S2-212275344,S2-220286148,S2-222848106,S2-234589431,S2-250788994,S2-265476718,S2-275274983,S2-284104627,S2-337664587,S2-384556840,S2-413751969,S2-4479411,S2-455013755,S2-471517558,S2-507892486,S2-53665849,S2-555340827,S2-580220120,S2-594193732,S2-617274078,S2-619589437,S2-646848910,S2-662955006,S2-665496719,S2-674913444,S2-677854926,S2-686212998,S2-709426534,S2-716241994,S2-729358922,S2-739208908,S2-751383916,S2-778677603,S2-788375901,S2-799199580,S2-819620168,S2-846938440,S2-897389883,S2-944858071,S2-957766421,S2-993197951,S2-996065145,S3-105907259,S3-124784374,S3-171041392,S3-172346398,S3-17542181,S3-252105884,S3-302563758,S3-310406350,S3-316302368,S3-322576637,S3-323870513,S3-38603666,S3-391917302,S3-396256962,S3-398916820,S3-407154772,S3-534557996,S3-545977295,S3-560065857,S3-568172596,S3-623900195,S3-680484046,S3-719141461,S3-719874902,S3-72783716,S3-764565144,S3-827172749,S3-870307491,S3-888456962,S3-90124333,S3-908532298,S3-952792732,S3-974247300,S3-979018087,S3-997847073
S1-164017572	S2-119843211,S2-168059823,S2-170947040,S2-187340131,S2-215101171,S2-217550274,S2-412652966,S2-421049739,S2-432301242,S2-442726484,S2-512143416,S2-551174478,S2-585106009,S2-608083959,S2-615202978,S2-656595799,S2-684000695,S2-702390529,S2-776409894,S2-814876053,S2-831064278,S2-872738270,S2-901540309,S2-982003904,S3-103439712,S3-14314164,S3-159732193,S3-211517464,S3-280521257,S3-306908122,S3-356790383,S3-427186049,S3-644552481,S3-656847536,S3-66611286,S3-689389542,S3-715003272,S3-72313473,S3-736984677,S3-807666525,S3-867082666,S3-867419758,S3-924135878,S3-9765715
S1-167577766	S2-120771780,S2-190825164,S2-261633301,S2-300929164,S2-30720967,S2-311499193,S2-317848192,S2-318532387,S2-320950403,S2-334286361,S2-409737188,S2-411991773,S2-421560039,S2-534682798,S2-650376618,S2-68812643,S2-789154183,S2-817935651,S2-866917864,S2-973724667,S2-990598893,S3-162997581,S3-184503228,S3-248738800,S3-266446461,S3-283011224,S3-320929683,S3-347799178,S3-384725073,S3-414922290,S3-449371961,S3-500236934,S3-520303683,S3-541227706,S3-561673416,S3-569338351,S3-600027350,S3-624733776,S3-634035761,S3-642786048,S3-688129072,S3-728281172,S3-894367474,S3-899583090,S3-935511786,S3-941024747,S3-948007609,S3-995273501
S1-169036830	S2-134925348,S2-259641402,S2-319464336,S2-341502969,S2-524230824,S2-695091484,S2-820687768,S2-890463640,S2-998309675,S3-197738083,S3-277439066,S3-493888777,S3-564535893,S3-595344158,S3-626166797,S3-674408332,S3-713456368,S3-714580977,S3-778070560,S3-799171221,S3-954979111,S3-967216791
S1-170295653	S2-156964241,S2-172980805,S2-216540018,S2-237407472,S2-269978206,S2-274640549,S2-294788791,S2-323868269,S2-338944114,S2-383727140,S2-395883656,S2-397065527,S2-474346550,S2-525862775,S2-526927807,S2-5811047,S2-581318712,S2-598476409,S2-617973037,S2-642060409,S2-678650838,S2-70991129,S2-737376668,S2-771902332,S2-772269040,S2-779072102,S2-791305826,S2-870694144,S2-879384287,S2-905760230,S2-911490771,S2-928761311,S2-933085923,S2-991092457,S3-111132981,S3-112320676,S3-116800589,S3-128470458,S3-183637697,S3-208163915,S3-220054844,S3-253718798,S3-317130896,S3-378621439,S3-445965583,S3-474242837,S3-481339929,S3-52226399,S3-54732281,S3-553555462,S3-619435286,S3-645951780,S3-656527882,S3-711955541,S3-751294591,S3-751833515,S3-75715441,S3-77401880,S3-825675289,S3-847369569,S3-854440725,S3-876069334,S3-8865181,S3-926211300,S3-958622681,S3-960205913
